id2,body,Is_English,like_count
314,@duolingo @GenshinImpact why is nobody talking about…those green chicken cheeks😏,1,66
315,@duolingo @GenshinImpact https://t.co/56RWX0VsfX,1,38
316,@duolingo @GenshinImpact https://t.co/5ygc3xdRvY,1,9
317,@duolingo @GenshinImpact https://t.co/4M6xVZPtgP,1,6
318,@duolingo @GenshinImpact Looks like Duo concerned about her cheeks. 👀,1,4
319,@duolingo @GenshinImpact Emergency foods at the ready,1,3
320,@duolingo @GenshinImpact Are they cooking duo's family??,1,3
321,@duolingo @GenshinImpact https://t.co/vOOc3LJtV0,1,2
323,@duolingo @GenshinImpact Get a damn life we are coming for you! 👾,1,1
325,@duolingo @GenshinImpact Worst thing you could do to try and cover up the bullshit going on in the Duolingo company tbh lmao,1,1
326,@duolingo @GenshinImpact 😌🙃,1,0
327,@duolingo @GenshinImpact Wow,1,0
328,@duolingo @GenshinImpact Cute now hire back all the people you laid off,1,0
329,@duolingo @GenshinImpact That's a great crossover! Good luck to Paimon and all the students! 📚💚✨,1,0
330,@duolingo @GenshinImpact Idk I want to play genshin again but i'm afraid hoyo will do me wrong again,1,0
331,"@duolingo @GenshinImpact They, clearly, do not try to study German above level 80....",1,0
334,@duolingo @GenshinImpact パイモン！！一生懸命勉強することは素晴らしい！！,1,0
335,@duolingo @GenshinImpact 頑張って！！！！うわぁ！！！！,1,0
336,@duolingo @GenshinImpact Why is Duo so thicc? https://t.co/mKdBibVaCf,1,11
337,@duolingo @GenshinImpact How is duo about to eat himself? Or… is he cooking his own kind?? 😳 https://t.co/8HrifYOktv,1,5
338,@duolingo @GenshinImpact 你在煮什么呢？？？,1,0
340,@duolingo @GenshinImpact 能不能把非自愿扣款退一下啊我真的无语死了，消费者维权困难死了，我一个工作都没有的人莫名其妙给付了会员费用。多领国就是不给退，客服还挂电话，问就是和我们没关系都是苹果的事情,1,0
341,"@duolingo @GenshinImpact Hi Duo! I'm a member of a super duolingo and I spend a lot of time on your app. Unfortunately, due to a lot of work at my uni, I've lacked time to work on my lg lessons and I've lost my 700 days streak. Would you be able to help me get it returned? Thank you! My account is _dasza",1,0
342,@duolingo @GenshinImpact Looks like it’s snaaaaack time! ❤️🔥 https://t.co/rI6hod5FIF,1,0
344,@duolingo @XiLiu2231 这是啥联动啊别整,1,1
345,@duolingo Time to evolve buddy! https://t.co/cQy2L8ipc6,1,17
347,@duolingo Maybe because you're very sweet and delicious 😋,1,0
348,@duolingo Hi duo I was kidnapped and didnt have access to my phone so I lost my over 1000 day streak can you please bless me with a Christmas miracle my user is @/rattae (bloweyelashwish) https://t.co/Z4JcM4ZkQx,1,6
349,"@duolingo Check your mentions, Duo! 1.5 years of Japanese learning is on the line because of a broken phone. Help a student out? 😭💚",1,1
350,"@duolingo A bug, i can't do anything! https://t.co/57plSqPcXb",1,1
351,@duolingo I didn't understand this one at all. What do you do with these rewards?,1,0
352,@duolingo I was right,1,3
353,"@duolingo you look delicious, duo https://t.co/3bY5RaS7Bc",1,67
355,@duolingo What did you do with my boy Junior!? He sounds totally different now talking Spainsh!! 😡,1,0
357,@duolingo 原神とコラボするのはいいけどバッテリーはいつ消えるか増えるの？,1,0
358,@duolingo Collab with @Fortnite!,1,1
359,"@duolingo Duolingo energy dies so fast why @duolingo 

Not a good upgrade",1,3
361,@duolingo @duolingo pls fix me streak @aladin933196,1,0
363,@duolingo Duo could you please restore my streak on German for 330 days 😭 my username is @ Arda746700,1,2
366,"@duolingo ""teyvat has its own laws""",1,25
367,@duolingo Indeed curious how his glasses stay on his face 🤔,1,0
